,number,value,datetime_start,datetime_complete,duration,params_q_con,params_q_u_yaw_rate,params_qt_pos_high,params_qt_s_high,state
26,26,23.254169464111328,2025-02-19 19:46:25.686770,2025-02-19 19:46:50.063197,0 days 00:00:24.376427,0.5686956346765788,0.0010853863447762928,0.02657390400454697,1.3475221289467396,COMPLETE
27,27,21.449785709381104,2025-02-19 19:46:50.088979,2025-02-19 19:47:12.605180,0 days 00:00:22.516201,0.16227530442901092,0.0030176618663449967,0.02104036507472472,4.177569944625331,COMPLETE
28,28,21.106622219085693,2025-02-19 19:47:12.620524,2025-02-19 19:47:34.812812,0 days 00:00:22.192288,0.648217422262296,0.0011422996604328692,0.03516941887149862,10.901639895172075,COMPLETE
29,29,21.218374490737915,2025-02-19 19:47:34.833761,2025-02-19 19:47:57.177200,0 days 00:00:22.343439,0.7309309113471724,0.0028525803155052447,0.05791402875848793,10.293653081239507,COMPLETE
30,30,21.442825078964233,2025-02-19 19:47:57.200440,2025-02-19 19:48:19.722853,0 days 00:00:22.522413,0.3026343554305595,0.0028601812514127798,0.06114968981807446,11.86978312545163,COMPLETE
31,31,24.09803295135498,2025-02-19 19:48:19.743509,2025-02-19 19:48:44.929369,0 days 00:00:25.185860,0.9825831360966041,0.046849524803690056,0.03940696163800859,1.2801092961476521,COMPLETE
32,32,21.502065420150757,2025-02-19 19:48:44.949154,2025-02-19 19:49:07.528773,0 days 00:00:22.579619,0.6632780446814377,0.004265193784013142,0.015256140684026647,12.400673508059782,COMPLETE
33,33,21.405202627182007,2025-02-19 19:49:07.549843,2025-02-19 19:49:30.031297,0 days 00:00:22.481454,0.3413018015888675,0.0019610054914299497,0.030462941778323212,10.693647861641622,COMPLETE
34,34,21.803153038024902,2025-02-19 19:49:30.055510,2025-02-19 19:49:52.929955,0 days 00:00:22.874445,0.7433674892505061,0.001144223379798886,0.05327833206511465,4.358292199558709,COMPLETE
35,35,21.907254457473755,2025-02-19 19:49:52.953137,2025-02-19 19:50:15.936303,0 days 00:00:22.983166,0.6341955633310954,0.006611439342630681,0.02926281872076981,3.051086983239136,COMPLETE
36,36,21.6272931098938,2025-02-19 19:50:15.958030,2025-02-19 19:50:38.671023,0 days 00:00:22.712993,0.4528673686680677,0.01915635571716386,0.01478899206629355,9.81740940317233,COMPLETE
37,37,21.20168900489807,2025-02-19 19:50:38.694993,2025-02-19 19:51:01.016604,0 days 00:00:22.321611,0.21791275882847952,0.0025731981278837913,0.08001078787283776,5.352335577995389,COMPLETE
38,38,21.24966287612915,2025-02-19 19:51:01.033650,2025-02-19 19:51:23.365661,0 days 00:00:22.332011,0.18182261591533785,0.003042368754133959,0.16519006707737993,5.0075731785169655,COMPLETE
39,39,21.062257766723633,2025-02-19 19:51:23.386490,2025-02-19 19:51:45.528372,0 days 00:00:22.141882,0.3469595512138968,0.0015519381670812433,0.0968861306609089,11.153776549711528,COMPLETE
